Date,Open,High,Low,Close,Adj Close,Volume
2019-09-22,null,null,null,null,null,null
2019-09-23,26923.000000,27045.000000,26803.000000,26963.000000,26963.000000,158528
2019-09-24,27006.000000,27112.000000,26686.000000,26818.000000,26818.000000,147365
2019-09-25,26833.000000,27015.000000,26715.000000,26958.000000,26958.000000,240008
2019-09-26,26962.000000,27042.000000,26782.000000,26892.000000,26892.000000,199414
2019-09-27,26896.000000,26992.000000,26689.000000,26796.000000,26796.000000,184044
2019-09-29,null,null,null,null,null,null
2019-09-30,26898.000000,26971.000000,26804.000000,26901.000000,26901.000000,225720
2019-10-01,26961.000000,27040.000000,26515.000000,26521.000000,26521.000000,131797
2019-10-02,26553.000000,26617.000000,25931.000000,25985.000000,25985.000000,204735
2019-10-03,26003.000000,26186.000000,25703.000000,26180.000000,26180.000000,240232
2019-10-04,26160.000000,26549.000000,26060.000000,26525.000000,26525.000000,271794
2019-10-06,null,null,null,null,null,null
2019-10-07,26372.000000,26615.000000,26339.000000,26439.000000,26439.000000,190606
2019-10-08,26418.000000,26549.000000,26092.000000,26138.000000,26138.000000,155862
2019-10-09,26139.000000,26400.000000,26086.000000,26305.000000,26305.000000,234008
2019-10-10,26322.000000,26599.000000,25983.000000,26484.000000,26484.000000,165144
2019-10-11,26544.000000,26975.000000,26496.000000,26775.000000,26775.000000,219328
2019-10-13,null,null,null,null,null,null
2019-10-14,26761.000000,26894.000000,26637.000000,26746.000000,26746.000000,237623
2019-10-15,26751.000000,27079.000000,26750.000000,27002.000000,27002.000000,123162
2019-10-16,27000.000000,27017.000000,26890.000000,26940.000000,26940.000000,153083
2019-10-17,26933.000000,27088.000000,26876.000000,26993.000000,26993.000000,137346
2019-10-18,26995.000000,27023.000000,26726.000000,26754.000000,26754.000000,144360
2019-10-20,null,null,null,null,null,null
2019-10-21,26725.000000,26837.000000,26701.000000,26797.000000,26797.000000,149070
2019-10-22,26798.000000,26904.000000,26715.000000,26763.000000,26763.000000,112065
2019-10-23,26752.000000,26852.000000,26588.000000,26802.000000,26802.000000,143610
2019-10-24,26819.000000,26872.000000,26655.000000,26780.000000,26780.000000,147111
2019-10-25,26776.000000,26967.000000,26710.000000,26904.000000,26904.000000,152055
2019-10-27,null,null,null,null,null,null
2019-10-28,26931.000000,27120.000000,26926.000000,27053.000000,27053.000000,129494
2019-10-29,27062.000000,27111.000000,26967.000000,27042.000000,27042.000000,137575
2019-10-30,27053.000000,27230.000000,26940.000000,27132.000000,27132.000000,125026
2019-10-31,27172.000000,27180.000000,26847.000000,26982.000000,26982.000000,146042
2019-11-01,26992.000000,27278.000000,26959.000000,27259.000000,27259.000000,197544
2019-11-03,null,null,null,null,null,null
2019-11-04,27278.000000,27450.000000,27274.000000,27380.000000,27380.000000,156759
2019-11-05,27402.000000,27493.000000,27366.000000,27421.000000,27421.000000,135057
2019-11-06,27420.000000,27470.000000,27337.000000,27430.000000,27430.000000,126855
2019-11-07,27454.000000,27739.000000,27390.000000,27667.000000,27667.000000,129297
2019-11-08,27672.000000,27717.000000,27541.000000,27631.000000,27631.000000,159355
2019-11-10,null,null,null,null,null,null
2019-11-11,27645.000000,27673.000000,27470.000000,27658.000000,27658.000000,125901
2019-11-12,27658.000000,27732.000000,27597.000000,27663.000000,27663.000000,123436
2019-11-13,27661.000000,27771.000000,27524.000000,27761.000000,27761.000000,134410
2019-11-14,27772.000000,27806.000000,27633.000000,27746.000000,27746.000000,160990
2019-11-15,27750.000000,27971.000000,27736.000000,27953.000000,27953.000000,143715
2019-11-17,null,null,null,null,null,null
2019-11-18,27960.000000,28059.000000,27926.000000,28008.000000,28008.000000,136561
2019-11-19,28013.000000,28128.000000,27851.000000,27895.000000,27895.000000,127718
2019-11-20,27884.000000,27884.000000,27643.000000,27800.000000,27800.000000,151389
2019-11-21,27726.000000,27846.000000,27654.000000,27748.000000,27748.000000,189292
